TV,Radio,Newspaper,Sales
230.1,37.8,69.2,22.1
44.5,39.3,45.1,10.4
17.2,45.9,69.3,9.3
151.5,41.3,58.5,18.5
180.8,10.8,58.4,12.9
8.7,48.9,75.0,7.2
57.5,32.8,23.5,11.8
120.2,19.6,11.6,13.2
8.6,2.1,1.0,4.8
199.8,2.6,21.2,10.6
66.1,5.8,24.2,8.6
214.7,24.0,4.0,17.4
23.8,35.1,65.9,9.2
97.5,7.6,7.2,9.7
204.1,32.9,46.0,19.0
195.4,47.7,52.9,22.4
67.8,36.6,114.0,12.5
281.4,39.6,55.8,24.4
69.2,20.5,18.3,11.3
147.3,23.9,19.1,14.6
218.4,27.7,53.4,18.0
237.4,5.1,23.5,12.5
13.2,15.9,56.8,5.6
228.3,16.9,26.2,15.5
62.3,12.6,18.3,9.7
262.9,3.5,19.5,12.0
142.9,29.3,12.6,15.0
240.1,16.7,22.9,13.2
248.8,27.1,22.9,17.4
70.6,16.0,40.8,10.8
292.9,28.3,43.2,21.8
97.2,1.5,30.0,7.5
265.6,20.0,0.3,16.7
95.7,1.4,7.4,7.2
290.7,4.1,8.5,17.7
266.9,43.8,5.0,22.4
74.7,49.4,45.7,14.2
43.1,26.7,35.1,10.0
228.9,19.6,26.2,15.9
202.4,32.5,43.7,19.0
177.0,9.3,6.4,11.5
293.6,27.7,1.8,20.7
206.9,8.4,26.4,12.9
25.1,25.7,43.3,8.5
175.1,22.5,31.5,14.9
89.7,9.9,35.7,10.6
239.9,41.5,18.5,23.2
227.2,11.0,17.9,14.8
